Strain,Type,Rating,Effects,Flavor,Description
3Rd-Coast-Panama-Chunk,hybrid,4.7,"Energetic,Happy,Talkative,Uplifted","Pine,Diesel","3rd Coast Panama Chunk by Bedford Grow is a cross between East Coast Panama Chunk (Panama F7 x Deep Chunk) and Sour Diesel. This vigorous strain creates dense, resinous buds that reek of pine and fuel. Panama Chunk is a potent and versatile hybrid that provides immediate mood elevation and stress relief, making it ideal after a long day. The strain’s varied cerebral and physical effects help consumers abate anxiety and insomnia while also tending to migraines and muscular pain. "
501St-Og,hybrid,4.5,"Relaxed,Euphoric,Sleepy,Happy,Talkative","Earthy,Pine,Skunk","501st OG, bred by Rare Dankness, is an indica-dominant hybrid that crosses Skywalker OG with Rare Dankness #1. The colorful flowers are tinged with a wide spectrum of green, blue, red, and purple hues that give off a deep piney kush aroma that mixes with the sweetness of grape flavors. The potent indica effects make 501st OG a great nighttime strain to help with pain relief and trouble sleeping."
5Th-Element,indica,4.4,"Relaxed,Focused,Euphoric,Uplifted,Aroused","Earthy,Woody,Pine","Elemental Seeds crossed Blackberry with All Spark OG to create this impressive strain. 5th Element produces huge yields of sticky buds that feature a powerful earthy, lemony smell and flavor. The effects are quite strong with a good mix of cerebral and body highs."
707-Headband,hybrid,4.3,"Euphoric,Happy,Uplifted,Talkative,Creative","Earthy,Woody,Pungent","This strain emerged from the Humboldt County, California and that area’s telephone area code is the source of its numerical moniker. It’s a cross between Sour Diesel, OG Kush and Master Kush. 707 Headband plants flower in 9 to 11 weeks and usually have large yields. An indica dominant hybrid, this strain is known to have high THC levels and can be strong, but it’s balanced enough to leave most users feeling “heady” and creative rather than sleepy. Because of this, it’s often used to treat tension and anxiety."
8-Ball-Kush,indica,4.3,"Relaxed,Uplifted,Happy,Creative,Euphoric","Citrus,Earthy,Pine","Bred by Barney’s Farm, 8 Ball Kush is a pure indica variety descended from an Afghani landrace strain. Like many other cannabis varieties that come from the Hindu Kush region, 8 Ball Kush produces large amounts of crystal resin that blanket the buds. Its aroma is earthy and spicy, and you may find its effects to be more cerebrally stimulating than the average indica. A hardy and resilient plant, 8 Ball Kush has a 50 to 60 day flowering time indoors while outdoor gardens finish at the end of September."
818-Og,indica,4.7,"Relaxed,Happy,Euphoric,Giggly,Sleepy","Earthy,Diesel,Flowery","Named after the telephone area code of the San Fernando Valley in Los Angeles, 818 OG is an OG Kush strain popular with patients for treating pain, loss of appetite, and insomnia. Not to be confused with the other OG cut named for the locale, the 818 OG has a very fruity flavor that is quite different from the sour, earthy fuel taste found in the SFV OG. "
831-Og,indica,5,"None","None","831 OG, aka Santa Cruz OG, is an indica-dominant strain developed by 831 Organiks. Created by crossing the rare and potent Inferno F1 cut with the West Coast mainstay, SFV OG, this combination of heavyweight indicas imbues consumers with deep relaxation that borders on sleepy, especially with continued consumption. The aroma is pure fuel while the flavor opens up with notes of pine, earth, and lemon. Enjoy this strain near the end of the day, but beware, this strain has been known to reach toward 30% THC.  "
9-Pound-Hammer,indica,4.5,"Relaxed,Sleepy,Euphoric,Happy,Hungry","Earthy,Sweet,Berry","9 Pound Hammer is an 80% indica strain that crosses Gooberry, Hells OG, and Jack the Ripper. These dense buds are coated in resin, offering sweet grape and lime flavors. True to its indica dominance, effects are heavy and long-lasting, useful for pain and stress relief. Best grown indoors, 9 Pound Hammer will deliver a heavy yield, flowering between 50 and 60 days."
91-Krypt,indica,4.7,"Relaxed,Euphoric,Happy,Hungry,Uplifted","Earthy,Pungent,Berry","91 Krypt by DNA Genetics is a potent strain by many names. Bred from the Chemdawg ‘91 stock crossed with DNA’s famous Captain Krypt OG, this strain was created for high potency cannabis consumers. It emits a deep, dank terpene profile that fills the room with skunk and swampy earth. With a THC content pushing over 20% on average, enjoy 91 Krypt to stimulate appetite while harnessing full body relaxation."
A-10,indica,3.8,"Relaxed,Focused,Happy,Sleepy,Uplifted","Citrus,Pungent,Sweet","A-10 has an earthy, hashy taste that provides a very heavy body stone.  Frequently used to treat insomnia and chronic pain."
A-Dub,hybrid,4.4,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Diesel,Pepper,Earthy","Coming from the ever-popular Sour Diesel, OG Kush, and Chemdawg family tree, A-Dub has a solid reputation for its potency. This hybrid produces a well-balanced effect, creating a euphoric, happy buzz that is a great influence when expressing your creativity. Sour Double (a Sour Diesel/Sour Bubble cross) and Alien Dawg (Alien Technology crossed with Chemdawg) combine to birth this magnificent flower."
A-Train,hybrid,4.1,"Creative,Euphoric,Relaxed,Happy,Hungry","Earthy,Woody,Citrus","A-Train is a hybrid between Mazar I Sharif and the clone-only Arcata e-32 Trainwreck.  This hybrid gives you the classic stoned feeling.  Be ready for smiles and munchies when you jump on the A-Train."
Acdc,hybrid,4.5,"Relaxed,Happy,Uplifted,Focused,Euphoric","Earthy,Pine,Woody","ACDC is a sativa-dominant phenotype of the high-CBD cannabis strain, Cannatonic. One remarkable characteristic of ACDC is its THC:CBD ratio of 1:20, meaning this strain induces no psychoactive effects. Tests have put ACDC’s CBD content as high as 19%, which helps many patients treat pain, anxiety, epilepsy, multiple sclerosis, and the negative effects of chemotherapy, all without intoxication."
Ak-47,hybrid,4.2,"Happy,Relaxed,Uplifted,Euphoric,Energetic","Earthy,Pungent,Woody","Don't let its intense name fool you: AK-47 will leave you relaxed and mellow. This sativa-dominant hybrid delivers a steady and long-lasting cerebral buzz that keeps you mentally alert and engaged in creative or social activities. AK-47 mixes Colombian, Mexican, Thai, and Afghani varieties, bringing together a complex blend of flavors and effects. While AK-47’s scent is sour and earthy, its sweet floral notes can only be fully realized in the taste. Created in 1992 by Serious Seeds, AK-47 has won numerous Cannabis Cup awards around the world for its soaring THC content. For those hoping to fill their gardens with this resinous, skunky hybrid, growers recommend an indoor environment with either soil or hydroponic setups. AK-47 is easy to grow and has a short indoor flowering time of just 53 to 63 days, while outdoor plants typically finish toward the end of October."
Ak-48,hybrid,4,"Happy,Energetic,Uplifted,Creative,Relaxed","Earthy,Pungent,Citrus","Although it is a hybrid, the AK-48 high leans more towards typical sativa effects.  AK-48's parents are Ice and Jock Horror.  Its Ice mother has ancestors of Afghani, Skunk, Northern Lights and Shiva stock."
Aberdeen,hybrid,4.3,"Uplifted,Euphoric,Giggly,Energetic,Sleepy","Menthol,Blue,Cheese,Chemical","Aberdeen is a variety of Agent Orange grown by Canadian LP Aphria. Like Agent Orange, Aberdeen combines the genetics of Orange Velvet and Jack the Ripper to create a mix of sweet orange and citrus flavors. The happy, uplifting effects of Aberdeen mirror Agent Orange and are regularly prescribed for anxiety, migraines, and gastrointestinal disorder."
Abusive-Og,indica,4.5,"Relaxed,Euphoric,Sleepy,Happy,Giggly","Earthy,Pine,Diesel","A popular Californian cut of OG Kush, Abusive OG is an indica strain that inherited the nickname of its original grower. Despite its violent name, Abusive OG will ease you into in a peaceful state of mind that fades over time to a full-body relaxation. True to its OG genetics, Abusive OG has an earthy spice aroma with subtle lemon undertones. Patients who don’t mind mental haziness might choose this strain to remedy pain, anxiety, appetite loss, and sleeplessness at the end of their day. Abusive OG may not produce the highest yields in the garden, but makes up for it with resin-caked buds."
Acapulco-Gold,sativa,4.5,"Happy,Uplifted,Euphoric,Energetic,Relaxed","Earthy,Sweet,Pungent","One of the most well-known strains, Acapulco Gold has been likened to dinner at a five-star restaurant. The strain comes from the areas in and around Acapulco, Mexico. Its orange hairs resemble a gold nugget, with gold, green, and brown colors of resin collecting on the buds. An aroma of burnt toffee lingers when the bud is broken up. Acapulco Gold has a reputation for being one of the best cannabis strains ever created, and is becoming more difficult to find due to more growers moving indoors. "
Ace-Killer-Og,indica,4.8,"Relaxed,Sleepy,Euphoric,Happy,Uplifted","Earthy,Diesel,Spicy/Herbal","Ace Killer OG is an indica strain that boasts a high THC content and a pungent diesel aroma. Bred from White Fire OG, King’s Kush, Kosher Kush, and a mystery strain, Ace Killer OG inherits a heavy blanket of snow-like resin and hard-hitting effects that can stupefy even the most seasoned veteran."
Ace-Of-Spades,indica,4.1,"Relaxed,Euphoric,Happy,Sleepy,Hungry","Earthy,Sweet,Woody","Ace of Spades is a creation from TGA Subcool Seeds that takes advantage of the popular sweet and sour combination that never goes out of style. A crossbreed of Black Cherry Soda and Jack the Ripper, this strain has an earthy berry and citrus smell that carries over into the taste with distinctly lemony flavors. Ace of Spades plants grow fast and need a lot of space because they will get both bushy and tall. Flowering occurs at 8 weeks and they are generally large and heavy. These buds are pretty to look at with a range of colors that can include purples, blues, and pinks all coated in orange hairs."
Aceh,sativa,4.4,"Creative,Euphoric,Talkative,Energetic,Happy","Earthy,Mango,Lemon","Aceh, also called Atjeh, refers to the sativa varieties of cannabis that come from the Aceh region of Indonesia. These sativas typically grow tall and thin, and are considered the finest among Indonesia’s landrace varieties "
Acid,hybrid,4.4,"Creative,Happy,Euphoric,Energetic,Uplifted","Lemon,Diesel,Earthy","Acid is Paradise Seeds’ take on the original New York Sour Diesel. Expect powerful body effects, including an uplifted, nearly psychedelic mental energy. This plant exhibits a metallic flavor that is representative of its namesake, with traditional notes of gas on the nose. Acid thrives in both indoor and outdoor environments, finishing in about 9 to 10 weeks. "
Acid-Dough,sativa,5,"Talkative,Giggly,Happy,Hungry,Relaxed","None","Acid Dough by Ripper Seeds is a sativa-dominant strain with energetic effects. Created by crossing Lilly (Queen Mother x Congo) x OG Badazz, this strain offers sweet, candy-like aromas with bright pineapple flavors and a generous yield. Acid Dough has an approximate 65-70 day flowering time and colorful foliage. This strain responds well to cold temperatures during the finishing process, creating buds with deep violet hues and extra resin production. Acid Dough won 2nd Place Best Sativa at the 2017 Spannabis Champions Cups and 2nd Place at the 2016 Expogrow Cup. "
Afcrack,hybrid,3.4,"Tingly,Euphoric,Happy,Relaxed,Uplifted","Sweet,Flowery,Earthy","Afcrack is a cannabis “speedball” of sorts. This strain incorporates Afgoo and Green Crack, polar opposites on the spectrum of indica and sativa varieties, to create a pseudo-sedative experience that rests in the muscles while invigorating the heart and mind. With spicy earth notes that indicate its Afghani heritage, this hybrid’s effects are situation-specific and will offer energy or sedation depending on the consumer’s level of activity.    "
Afghan-Big-Bud,indica,4,"Euphoric,Happy,Relaxed,Sleepy,Talkative","Pungent,Lemon,Peach","Spawn from Afghani and Big Bud, Afghan Big Bud (or Big Bud Afghani) is characterized as a large plant with broad leaves and thick stems. It has a dense appearance, similar to Big Bud, and maintains the taste of Afghani, resulting in the best of both worlds. The effects come relatively quick but usually dissipate under two hours. "
Afghan-Cow,sativa,4.3,"Focused,Uplifted,Happy,Euphoric,Talkative","Sweet,Vanilla","This sweet-smelling and resinous sativa breed from Dr. Krippling Seeds is sure to keep you off the couch. Afghan Cow is bred from Ash, Kaya 47 (an AK-47 phenotype), and the beloved Kali Mist. The cerebral effects of this sativa are great for clear-headed daytime use. Having a high yield both indoors and out, this is an impressive plant with even more impressive effects."
Afghan-Diesel,hybrid,3.7,"Euphoric,Relaxed,Uplifted,Happy,Creative","Earthy,Diesel,Chemical","Afghan Diesel is a hybrid strain with an aroma similar to a grapefruit and other citrus fruit. The taste has been described as light and sweet. This strain will have a more cerebral effect rather than body. The plant is characterized as having dark green leaves with purple colored buds. "
Afghan-Hawaiian,indica,4.1,"Tingly,Sleepy,Relaxed,Energetic,Aroused","Nutty,Earthy,Chestnut","Afghan Hawaiian is an indica-dominant hybrid of UK Cheese and Lavender bred by Canadian LP OrganiGram, Inc. The sweet mix of earthy, cheese flavors has hints of licorice and caramel undertones and produces a rush of euphoria that levels off into deep relaxation. OrganiGram classifies Afghan Hawaiian with their NDS varieties and recommend it for neurological disorders and spasticity. "
Afghan-Haze,hybrid,4.3,"Sleepy,Relaxed,Giggly,Happy,Creative","Earthy,Flowery,Tea","Afghan Haze is a sativa-dominant hybrid that combines a resinous Afghani indica with a sweet-smelling Haze sativa. Created by former Sensi breeder Nevil Schoenmaker and Shantibaba of Mr. Nice Seeds, Afghan Haze balances energizing cerebral invigoration with soothing full-body effects. Its clear-headed relief allows patients to treat pain, depression, and appetite loss during the day, and heavier doses can help ease the mind and body into peaceful sleep. Afghan Haze may have an excruciatingly long indoor flowering time of 10 weeks, but the large harvests of potent, crystal-covered buds are worth waiting for. "
Afghan-Kush,indica,4.1,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Earthy,Flowery,Woody","Afghan Kush's roots trace back to the Hindu Kush mountain range near the Afghanistan-Pakistan border. There its genotype has been perfected over centuries, making it the ultimate source for hash such as charas and the sticky black Afghani hash. White Label Seed Company, a Sensi Seeds partner from the Netherlands, made the seeds of this strain available for everyone to grow. The buds of Afghan Kush develop into massive, blunt-topped nuggets full of resin; pure indica goodness with a heavy yield. Revered for its heavy resin content and powerfully sedating effects, Afghan Kush is a top choice for anyone looking to relax after a long day."
Afghan-Skunk,indica,4.3,"Sleepy,Relaxed,Happy,Hungry,Giggly","Skunk,Woody,Sweet","This popular classic strain was originally developed in the United States to cross the pure indica genetics of an Afghani strain with the durable genes of Skunk plants. Afghan Skunk quickly spread to Amsterdam and beyond and is now considered one of the “classics.” Its resilient Skunk genes make this plant a popular recommendation for new growers, and its legendary high yields make it a favorite all around. Flowering happens around 8 weeks and the buds will have a menthol smell combined with the “sweet stink” skunks are known for. Tests have shown THC levels of about 17%, so the stink isn’t the only thing that’s potent about Afghan Skunk."
Afghan-Sour-Kush,indica,4.5,"Hungry,Relaxed,Aroused,Sleepy,Euphoric","Earthy,Diesel,Pungent","Afghan Sour Kush by MTG Seeds is an indica-dominant cross between Afghani and Sour Kush. Its heavy, relaxing effects are ushered in by a sweet berry aroma and a sharp spicy flavor typical of Kush varieties. Stout and sturdy, Afghan Sour Kush plants have tight internodal spacing and finish flowering in about 60 days."
Afghan-Widow,hybrid,4.5,"Creative,Energetic,Euphoric,Focused,Uplifted","Flowery,Diesel,Sweet","Afghan Widow is a strain with deep relaxing qualities that immediately envelop the body in a calming aura. This mid-level sedation is pleasant but not debilitating. However, with continued consumption, this strain may yield benefits for patients treating insomnia, nausea, physical discomfort, and some cancer treatment side effects. Afghan Widows lineage is a common sense cross of Afghan Kush and White Widow.  "
Afghani,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Earthy,Sweet,Pine","Afghani is a heavy indica strain named after its geographic origin, where the earliest varieties of cannabis are believed to have grown. Breeders worldwide have come to treasure Afghani for its heavy resin production which is passed on genetically. With a sweet, earthy aroma, Afghani delivers a deep, sedating relaxation and euphoria. Patients most commonly turn to this potent indica to treat insomnia, pain, and stress disorders."
Afgahni-Bullrider,indica,4.4,"Focused,Uplifted,Happy,Creative,Relaxed","Lemon,Citrus,Sweet","This strain has quite a few myths circulating about its original appearance. It blew up in San Diego before spreading to the rest of the West Coast. Afghani Bullrider is pretty to look at, with light green buds covered in orange hair, and has a strong sweet and sour smell with some piney freshness. This strain is a heavy hitter that delivers a strong body without the full sedative effects some indicas can have; it heads straight to the brain and may boost creative thoughts while providing physical relaxation. With its high levels of THC and CBD, Afghani Bullrider is recommended for chronic pain, insomnia, and anxiety."
Afghani-Cbd,indica,4.6,"Relaxed,Happy,Sleepy,Tingly,Creative","Flowery,Chemical,Spicy/Herbal","Afghani CBD is a high-CBD variant of the landrace indica Afghani grown by Canadian LP Tilray. Named after its geographic origin Afghani CBD has relaxing, therapeutic properties that have shown potential to help those suffering with insomnia, chronic pain, and stress disorders."
Afghanica,hybrid,4.1,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Sweet,Flowery,Skunk","Afghanica is a strain created by Flying Dutchmen with a taste, form, and effects typical of Afghani varieties. Coupled with the yield, vigor, and general potency true to Skunks, it is a pleasure to grow and consume. This strain is cherished for its many medical applications including pain relief and insomnia, and its heavy physical characteristics are lent from its mother, Afghani #1."
Afghanimal,indica,5,"Hungry,Relaxed,Aroused,Sleepy,Focused","Citrus,Skunk","Afghanimal by In House Genetics is a heavy indica-leaning cross of Afghani and Animal Cookies. This squat plant offers tight, rock-hard nuggets that reek of sweet, acrid earth intermixed with fruit and floral notes. It lends consumers heavy physical effects suited for pain relief, relaxation, and mood enhancement. Afghanimal’s smaller stature and snappy 7-8 week flowering time make it a perfect fit for indica-loving indoor growers seeking classic and modern indica-dominant genetics."
Afghooey,indica,4.1,"Uplifted,Euphoric,Relaxed,Talkative,Creative","Earthy,Sweet,Woody","Also known as Afgoo, Afghooey buds are light, fluffy, and heavily laden with a crystal coating of trichomes. Working this marijuana in your hand can become a very sticky situation. Smoking Afghooey provides you with a best of both worlds indica & sativa high."
Afgoo,indica,4.1,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Sweet,Pine,Woody","Afgoo, also known as Afgooey, is a potent indica strain that is believed to descend from an Afghani indica and Maui Haze. Its sativa parent may lend Afgoo some uplifting, creative qualities, but this strain undoubtedly takes after its indica parent as it primarily delivers relaxing, sleepy effects alongside its earthy pine flavor. Growers hoping to cultivate Afgoo may have a better chance of success indoors, but this indica can also thrive in Mediterranean climates outdoors."
Afgooey,indica,4.3,"Relaxed,Happy,Sleepy,Giggly,Uplifted","Woody,Pine,Pungent","Afgooey, also known as Afgoo, is a potent indica strain that is believed to descend from an Afghani indica and Maui Haze. Its sativa parent may lend Afgoo some uplifting, creative qualities, but this strain undoubtedly takes after its indica parent as it primarily delivers relaxing, sleepy effects alongside its earthy pine flavor. Growers hoping to cultivate Afgoo may have a better chance of success indoors, but this indica can also thrive in Mediterranean climates outdoors."
Afkansastan,indica,3.8,"Uplifted,Euphoric,Giggly,Happy,Relaxed","Tobacco,Earthy","Afkansastan is a relaxing Afghan landrace strain that packs a punch. It grows stout plants with dense, dark green buds that exhibit hints of purple and brick red pistils throughout. The smell is earthy and sweet, but shows off berry and stone fruit after grinding and on the exhale. This indica-dominant strain offers traditional sedative effects that curb physical discomfort, insomnia, and ignite the appetite. Utilize this strain later in the day to harness the best it has to offer.     "
Afpak,hybrid,4.2,"Relaxed,Creative,Focused,Sleepy,Happy","Pine,Spicy/Herbal,Earthy","Afpak, named for its direct Afghani and Pakistani landrace heritage, is a beautiful indica-dominant hybrid with light green and deep bluish purple leaves. The taste and aroma are floral with a touch of lemon, making the inhale light and smooth. Its effects start in the stomach by activating the appetite. There is also a potent relaxation that starts in the head and face, and gradually sinks down into the body. Enjoy this strain if you’re suffering from stress, mild physical discomfort, or having difficulty eating.  "
African,sativa,3.9,"Euphoric,Energetic,Aroused,Tingly,Creative","Spicy/Herbal,Pungent,Pepper","African refers to the indigenous varieties of cannabis (or landraces) that grow natively in this region of the world. Because of this region's latitude and climate, these native landrace strains tend to be sativa in structure and effect."
Afrikaner,sativa,0,"None","None","Afrikaner by Cannabaal and master grower Waldo Botha is a pure South African landrace strain. This tall strain produces high levels of THCV alongside a healthy 20% THC content. It has an earthy hemp aroma, but the flavor is a “sweet picante weed stench,” or so says the producer. A pure sativa, Afrikaner energizes the body with a euphoric lust for life while keeping the mind fairly clear. Utilize this strain in the proper dosage to harness the physical stimulation and mood elevation for productive means.  "
Afternoon-Delight,hybrid,4.8,"Talkative,Relaxed,Uplifted,Tingly,Creative","Pungent,Citrus,Tropical","Afternoon Delight, created by Colorado Seed Inc., is a difficult strain to track down. Noted for its small, dense nuggets and an aroma of pine and pungent terpenes, Afternoon Delight is described as an indica-dominant hybrid with a hazy aura that engulfs the mind and body. But indulge with caution, as this hybrid has also been known for its potency. "
Afwreck,hybrid,4.2,"Euphoric,Happy,Uplifted,Relaxed,Sleepy","Earthy,Pine,Pungent","Afwreck is a hybrid cross of Afghani and Trainwreck.  Strong sativa effects with immediate head-concentrated high."
Agent-Orange,hybrid,4.2,"Happy,Uplifted,Relaxed,Energetic,Euphoric","Citrus,Orange,Earthy","Don’t let the name scare you! The only herbicidal warfare Agent Orange will wage is between the excellence of this strain's flavors and uplifting effects. A well-balanced hybrid that combines the smooth Orange Velvet with the bold Jack the Ripper, Agent Orange will capture your senses. Wonderful smells of oranges and fresh-cut citrus fruit will entice you immediately, while the pigments of deep maroon and purple will make this bud stand out in a sea of green. The effects are uplifting and motivating, serving as a great mood enhancer if you are feeling lethargic or depressed."
Agent-Tangie,hybrid,4.5,"Uplifted,Happy,Creative,Euphoric,Focused","Skunk,Citrus,Orange","For those craving a cerebral buzz with a citrus kick, 3C Agent Tangie is perfect. The glittery colas are light green with a zesty, floral flavor. Its effects linger in the crown of the skull and disperse throughout the body in steady waves of invigoration. This strain may assist those suffering from perpetual procrastination, depression, and fatigue. "
Air-Jordan-Og,indica,4.5,"Happy,Relaxed,Euphoric,Sleepy,Tingly","Diesel,Pine,Spicy/Herbal","Air Jordan OG, grown exclusively by Good as Gold in California, is a pure indica strain that packs a punch. Don’t let the name fool you: Air Jordan OG’s potent, sedating effects will have you melting deep into the couch, priming you for a nap or good night’s sleep. This strain delivers its sleepy, relaxing effects with sharp aromas of wood and fresh pine.  "
Als-Dream,hybrid,3,"Talkative,Energetic","None","Al’s Dream is rapidly becoming a Colorado cannabis staple. This cross of Albert Walker and Blue Dream yields a unique connoisseur-grade flower with notes of celery seed and pungent earth that opens up with notes of citrus after combustion. Offering consumers a heady euphoria that lends itself to creative tasks, it also has medicinal benefits that curb the effects of depression, nausea, and stress. Al’s Dream is also known to have mild psychedelic effects when its THC content passes 20%.  "
Alaska,sativa,4.6,"Relaxed,Sleepy,Euphoric,Focused,Happy","Earthy,Woody,Pine","Alaska, developed by Tikun Olam, is an Israeli strain comprised of 70% sativa genetics. With uplifting effects intended for daytime consumption, Alaska has been found to successfully treat an array of medical symptoms including inflammation, pain, nausea, insomnia, and gastrointestinal disorders. "
Alaska-Thunder-Grape,hybrid,5,"Tingly,Uplifted,Creative,Euphoric,Focused","Pepper,Strawberry,Grape","From Sonoma County comes Alaska Thunder Grape, a hybrid strain that balances genetics from Matanuska Thunder Fuck and Grape Ape. With floral flavors of lavender and hibiscus, Alaska Thunder Grape delivers heavy euphoric effects that promote rest and relaxation."
Alaskan-Ice,sativa,4.4,"Euphoric,Uplifted,Happy,Relaxed,Energetic","Sweet,Earthy,Spicy/Herbal","Alaskan Ice by Green House Seeds is a powerful sativa that crosses a euphoric White Widow hybrid with the energizing buzz of Haze. Frostlike resin blankets the buds in a promise of soaring psychoactivity, anchored only by its moderate CBD content. The intensity of this 70% sativa strain is recommended for evening consumption and unproductive weekends. Alaskan Ice is a slight variant of Moby Dick, but poses a greater challenge to growers; cultivators with the expertise to raise Alaskan Ice will be rewarded with a highly potent harvest of sour, spicy buds following a 9 week flowering period. The high resin content of Alaskan Ice has made this strain a favorite among hash producers and patients with severe symptoms."
Alaskan-Thunder-Fuck,sativa,4.4,"Happy,Euphoric,Relaxed,Uplifted,Energetic","Earthy,Woody,Pine","Alaskan Thunder Fuck (also referred to as ATF, Matanuska Thunder Fuck or Matanuska Tundra) is a legendary sativa-dominant strain originating in the Matanuska Valley area of Alaska.  According to the legend, it was originally a Northern California sativa crossed with a Russian ruderalis, but sometime in the late 70s it was crossed with Afghani genetics to make it heartier.  ATF usually presents large, beautifully frosted buds with incredibly strong odors of pine, lemon, menthol, and skunk.  Known for possessing a relaxing yet intensely euphoric high, it is also described as having a “creeper” effect as well as pronounced appetite enhancement."
